Total frames : 46
  ok         : 21
  partial    : 0  (clipped >= 3 corners)
  missed     : 25

Frame                Result             Area   Aspect  Clipped    Eps  PolyPts  HullPts
------------------------------------------------------------------------------------------
frame_000000         no_candidates         -        -        -      -        -        -
frame_000018         no_candidates         -        -        -      -        -        -
frame_000025         no_candidates         -        -        -      -        -        -
frame_000031         ok                 1713      2.0        0   0.04        4       14
frame_000037         no_candidates         -        -        -      -        -        -
frame_000044         no_candidates         -        -        -      -        -        -
frame_000051         no_candidates         -        -        -      -        -        -
frame_000057         ok                 4732    1.171        0   0.04        4       13
frame_000064         ok                 4872    1.171        0   0.04        4       14
frame_000071         no_candidates         -        -        -      -        -        -
frame_000078         ok                 3274    0.932        0   0.04        4       18
frame_000084         ok                 4277    0.594        0   0.06        5       14
frame_000090         ok                 5276    1.206        0   0.04        4       10
frame_000097         no_candidates         -        -        -      -        -        -
frame_000103         ok                 2824    1.194        0   0.04        4       17
frame_000110         ok                 5274    1.206        0   0.04        4       11
frame_000116         ok                 5288    1.206        0   0.04        4        9
frame_000122         ok                 5267    1.206        0   0.04        4       10
frame_000129         ok                 2584    0.963        0   0.08        6       12
frame_000135         ok                 4088    0.851        0   0.08        5       10
frame_000142         ok                 5184    1.206        0   0.04        4       11
frame_000148         ok                 5213    1.206        0   0.04        4       12
frame_000155         ok                 1666    2.441        0   0.04        4        8
frame_000162         ok                 2431    1.891        0   0.04        4       11
frame_000169         ok                 9550      1.6        0   0.06        5       15
frame_000176         ok                16518    1.462        0   0.04        4       14
frame_000183         ok                 7558    1.871        2   0.04        4        9
frame_000190         no_candidates         -        -        -      -        -        -
frame_000196         no_candidates         -        -        -      -        -        -
frame_000202         no_candidates         -        -        -      -        -        -
frame_000209         ok                 3794    0.835        1   0.08        5       13
frame_000215         no_candidates         -        -        -      -        -        -
frame_000222         ok                10116    1.437        1   0.06        5       20
frame_000228         no_candidates         -        -        -      -        -        -
frame_000234         no_candidates         -        -        -      -        -        -
frame_000241         no_candidates         -        -        -      -        -        -
frame_000248         no_candidates         -        -        -      -        -        -
frame_000255         no_candidates         -        -        -      -        -        -
frame_000261         no_candidates         -        -        -      -        -        -
frame_000268         no_candidates         -        -        -      -        -        -
frame_000274         no_candidates         -        -        -      -        -        -
frame_000280         no_candidates         -        -        -      -        -        -
frame_000287         no_candidates         -        -        -      -        -        -
frame_000294         no_candidates         -        -        -      -        -        -
frame_000301         no_candidates         -        -        -      -        -        -
frame_000307         no_candidates         -        -        -      -        -        -
