sim_time_ns,drone_x,drone_y,drone_z,yaw,detect_result,n_contours,largest_area,largest_aspect,largest_passed,n_candidates,best_area,best_aspect,best_hull_pts,best_poly_pts,four_corner_eps,n_clipped_corners
1782966344292279500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344292279500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344319501500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344319501500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344319501500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344319501500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344319501500,0.0,0.0,-0.5,0.0,ok,1,4953.0,0.9390243902439024,True,1,4953.0,0.9390243902439024,16,4,0.04,0
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344329157300,0.0,0.0,-0.5,0.0,spotlight_distortion,7,4183.5,1.0,True,1,4183.5,1.0,13,5,0.06,
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344360249000,0.0,0.0,-0.5,0.0,ok,6,4758.0,0.9875,True,1,4758.0,0.9875,12,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344393478800,0.0,0.0,-0.5,0.0,ok,6,5400.0,1.0,True,1,5400.0,1.0,11,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344428898100,0.0,0.0,-0.5,0.0,ok,6,5761.0,1.0,True,1,5761.0,1.0,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344459603100,0.0,0.0,-0.5,0.0,ok,7,5996.5,1.0125,True,1,5996.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,0.0,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,0.0,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,0.0,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,0.0,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,-5.9256124451678716e-08,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,-5.9256124451678716e-08,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,-5.9256124451678716e-08,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,-4.81543452668376e-07,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344493253100,0.0,0.0,-0.5,-4.81543452668376e-07,ok,5,6023.5,1.0125,True,1,6023.5,1.0125,12,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-4.81543452668376e-07,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-1.567219407583309e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-1.567219407583309e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-1.567219407583309e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-1.567219407583309e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-2.609841096568033e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-2.609841096568033e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-2.609841096568033e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344528809200,0.0,0.0,-0.5,-3.7476009682180234e-06,ok,6,6052.0,1.0,True,1,6052.0,1.0,9,4,0.04,0
1782966344562107600,0.0,0.0,-0.5,-3.7476009682180234e-06,ok,6,6071.0,0.9876543209876543,True,1,6071.0,0.9876543209876543,12,4,0.04,0
