sim_time_ns,drone_x,drone_y,drone_z,roll,pitch,yaw,detect_result,n_contours,largest_area,largest_aspect,largest_passed,n_candidates,best_area,best_aspect,best_hull_pts,best_poly_pts,four_corner_eps
1780883054339474100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026223264285363257,0.3106933534145355,-3.140516996383667,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026223264285363257,0.3106933534145355,-3.140516996383667,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0002725555968936533,0.31068798899650574,-3.140418767929077,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.0002725555968936533,0.31068798899650574,-3.140418767929077,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.0002725555968936533,0.31068798899650574,-3.140418767929077,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.0002725555968936533,0.31068798899650574,-3.140418767929077,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.0002725555968936533,0.31068798899650574,-3.140418767929077,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054339474100,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,10,76.0,1.3333333333333333,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00026347057428210974,0.3106938302516937,-3.140511989593506,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027399396640248597,0.31068694591522217,-3.140414237976074,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027399396640248597,0.31068694591522217,-3.140414237976074,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027399396640248597,0.31068694591522217,-3.140414237976074,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027399396640248597,0.31068694591522217,-3.140414237976074,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,5.859374869032763e-05,0.020546874031424522,0.00027399396640248597,0.31068694591522217,-3.140414237976074,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026455215993337333,0.31069350242614746,-3.140507698059082,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026455215993337333,0.31069350242614746,-3.140507698059082,no_candidates,13,80.5,1.2,False,0,,,,,
1780883054373873900,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.00026455215993337333,0.31069350242614746,-3.140507698059082,no_candidates,13,80.5,1.2,False,0,,,,,
